category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Sports Bras,L3,2%,46,0.00%,$153.91,51.09%,75.44%,(6.78%),(74.34%),(18.87%),2%,58,-6.92%,$983.15,49.38%,73.84%,(3.46%),(77.03%),(19.51%),3%,77,-40.25%,$4.19k,45.83%,74.90%,(3.68%),(77.46%),(18.85%),3%,119,-7.53%,$9.99k,38.18%,71.32%,(3.56%),(71.85%),(24.16%),3%,194,7.50%,$11.82k,37.07%,69.67%,(2.34%),(68.84%),(28.58%)
Baby Travel Essentials,L2,17%,11,0.00%,$885.64,83.45%,99.85%,(23.28%),(69.33%),(7.39%),16%,20,-22.78%,$3.72k,78.29%,98.42%,(14.07%),(73.47%),(12.46%),13%,28,-12.54%,$11.50k,72.15%,98.69%,(14.28%),(74.09%),(11.15%),14%,52,15.51%,$17.78k,74.59%,98.15%,(22.49%),(62.15%),(14.91%),23%,62,-49.71%,$44.56k,86.59%,99.05%,(28.73%),(59.81%),(11.27%)
Video Games,L3,72%,33,0.00%,$540.12,53.40%,91.43%,(83.82%),(14.87%),(1.31%),50%,58,181.32%,$1.01k,40.67%,79.57%,(58.87%),(12.48%),(28.65%),55%,114,-34.55%,$2.82k,45.60%,67.07%,(37.25%),(14.59%),(47.88%),42%,225,20.98%,$4.26k,41.43%,62.20%,(48.05%),(12.72%),(39.06%),32%,262,136.43%,$5.20k,31.38%,60.21%,(40.58%),(25.18%),(34.08%)
Lingerie,L3,2%,34,0.00%,$193.21,69.14%,88.73%,(2.47%),(59.24%),(38.29%),2%,60,-21.32%,$840.05,74.68%,90.33%,(2.57%),(56.28%),(41.15%),2%,72,-41.96%,$4.43k,74.79%,91.18%,(2.49%),(61.59%),(35.93%),2%,114,56.55%,$7.93k,65.99%,88.03%,(1.5%),(60.76%),(37.36%),2%,199,148.82%,$6.37k,58.40%,80.96%,(1.29%),(54.35%),(44.08%)
Mounts & Holders,L3,14%,51,0.00%,$119.48,49.98%,83.68%,(3.55%),(69.61%),(26.84%),15%,68,-17.18%,$763.61,50.26%,81.59%,(2.58%),(73.12%),(24.3%),31%,93,-32.97%,$3.42k,48.41%,83.15%,(2.24%),(73.17%),(24.47%),37%,185,-40.82%,$7.11k,48.76%,82.48%,(0.89%),(59.04%),(39.16%),53%,359,-9.28%,$7.70k,41.45%,75.62%,(0.47%),(54.41%),(44.64%)
Grooming Clippers,L3,21%,2,0.00%,$5.42k,100.00%,100.00%,(0%),(90.97%),(9.03%),28%,2,-34.46%,$70.00k,100.00%,100.00%,(0%),(74.67%),(25.33%),16%,2,115.61%,$157.84k,100.00%,100.00%,(0%),(81.92%),(18.08%),15%,2,26.94%,$351.00k,100.00%,100.00%,(0%),(81.62%),(15.54%),9%,2,751.29%,$392.23k,100.00%,100.00%,(0%),(80.47%),(16.64%)
Soldering Equipment,L2,5%,12,0.00%,$507.49,72.81%,99.63%,(3.66%),(85.59%),(10.75%),6%,15,-21.26%,$4.02k,77.12%,99.14%,(3.6%),(88.57%),(7.83%),6%,23,-31.16%,$13.60k,76.22%,98.33%,(4.17%),(87.93%),(7.9%),7%,40,-20.82%,$30.47k,73.52%,97.38%,(2.47%),(83.73%),(13.73%),7%,85,15.18%,$26.79k,80.34%,95.76%,(1.74%),(82.41%),(15.65%)
Welders,L3,100%,12,0.00%,$507.49,72.81%,99.63%,(3.66%),(85.59%),(10.75%),100%,15,-21.26%,$4.02k,77.12%,99.14%,(3.6%),(88.57%),(7.83%),100%,23,-31.16%,$13.60k,76.22%,98.33%,(4.17%),(87.93%),(7.9%),100%,40,-20.82%,$30.47k,73.52%,97.38%,(2.47%),(83.73%),(13.73%),100%,85,15.18%,$26.79k,80.34%,95.76%,(1.74%),(82.41%),(15.65%)
Interior Care,L3,12%,30,0.00%,$155.54,50.68%,87.31%,(22.91%),(52.14%),(24.95%),13%,40,-27.01%,$1.23k,50.91%,87.31%,(16.03%),(59.92%),(24.05%),16%,54,-33.62%,$5.78k,54.75%,87.72%,(10.09%),(68.89%),(21.03%),22%,92,-27.41%,$15.52k,55.35%,86.49%,(9.12%),(61.62%),(26.48%),36%,199,-29.21%,$17.31k,54.20%,84.45%,(13.18%),(48.5%),(36.84%)
Pliers,L3,54%,19,0.00%,$838.85,93.03%,99.32%,(1.65%),(80.41%),(17.94%),51%,29,-19.26%,$4.58k,93.85%,99.13%,(2.33%),(84.11%),(13.56%),39%,35,55.62%,$8.90k,86.69%,97.92%,(4.08%),(84.65%),(11.27%),30%,68,4.58%,$14.63k,88.74%,96.94%,(2.3%),(80.64%),(16.97%),23%,158,9.91%,$12.03k,87.16%,94.09%,(1.9%),(83.65%),(14.4%)
Pretend Play,L3,22%,20,0.00%,$532.29,58.03%,93.14%,(2.19%),(78.72%),(19.09%),17%,32,-8.37%,$2.25k,66.25%,92.82%,(2.07%),(84.67%),(13.26%),15%,42,-17.15%,$7.41k,49.45%,89.16%,(1.33%),(89.38%),(9.05%),25%,72,-43.12%,$26.34k,63.81%,91.24%,(0.46%),(89.63%),(8.29%),27%,111,17.25%,$31.66k,57.62%,85.75%,(0.28%),(90.28%),(8.28%)
Scratching Pads & Posts,L3,60%,36,0.00%,$332.50,79.30%,91.15%,(3.38%),(90.46%),(6.16%),53%,61,-9.20%,$1.24k,67.51%,85.18%,(1.17%),(86.07%),(12.76%),48%,81,-8.92%,$3.84k,48.79%,74.35%,(2.15%),(78.5%),(19.35%),48%,136,-6.95%,$7.31k,47.74%,71.41%,(1.24%),(77.84%),(20.16%),47%,229,54.92%,$7.14k,43.06%,68.13%,(1.06%),(71.39%),(27.06%)
Data Storage & Software,L2,3%,15,0.00%,$564.45,85.68%,98.23%,(15.56%),(69.6%),(14.84%),5%,33,-57.19%,$2.80k,89.96%,97.34%,(30.3%),(62.25%),(7.45%),3%,46,24.75%,$6.64k,74.57%,94.09%,(23.38%),(65.85%),(10.67%),3%,67,17.19%,$12.47k,59.99%,88.67%,(11.05%),(64.12%),(24.33%),4%,101,7.44%,$15.97k,58.40%,90.72%,(6.55%),(59.98%),(33.19%)
Education Devices,L2,1%,1,0.00%,$4.83k,100.00%,100.00%,(0%),(100%),(0%),1%,1,-14.52%,$41.97k,100.00%,100.00%,(0%),(100%),(0%),1%,1,-43.61%,$302.51k,100.00%,100.00%,(0%),(99.94%),(0%),2%,1,-35.83%,$1.61m,100.00%,100.00%,(0%),(95.31%),(4.17%),1%,1,1138.91%,$1.75m,100.00%,100.00%,(0%),(95.66%),(3.86%)
E-dictionaries,L3,100%,1,0.00%,$4.83k,100.00%,100.00%,(0%),(100%),(0%),100%,1,-14.52%,$41.97k,100.00%,100.00%,(0%),(100%),(0%),100%,1,-43.61%,$302.51k,100.00%,100.00%,(0%),(99.94%),(0%),100%,1,-35.83%,$1.61m,100.00%,100.00%,(0%),(95.31%),(4.17%),100%,1,1138.91%,$1.75m,100.00%,100.00%,(0%),(95.66%),(3.86%)
Bum Bags & Belt Bags,L3,5%,34,0.00%,$167.39,35.91%,78.47%,(35.71%),(47.7%),(16.59%),6%,53,-13.16%,$956.68,43.60%,79.29%,(28.83%),(50.34%),(20.82%),7%,66,-33.77%,$4.57k,43.74%,80.92%,(22.32%),(58.74%),(18.94%),7%,103,-4.15%,$9.16k,30.80%,70.36%,(22.16%),(49.12%),(28.07%),8%,229,-20.40%,$9.29k,38.40%,66.47%,(18.77%),(51.21%),(29.63%)
Weight Training,L3,6%,20,0.00%,$739.32,79.66%,98.79%,(7.03%),(86.83%),(6.14%),5%,25,20.71%,$3.84k,76.08%,98.06%,(11.06%),(80.43%),(8.51%),3%,32,34.67%,$9.36k,75.14%,97.07%,(20.26%),(70.33%),(9.37%),2%,59,79.27%,$9.86k,71.97%,92.81%,(16.76%),(67.83%),(13.38%),2%,N/A,69.10%,$7.46k,62.22%,84.38%,(10.74%),(66.91%),(21.05%)
Honey & Maple Syrup,L3,12%,6,0.00%,$1.27k,96.11%,100.00%,(8.46%),(71.29%),(20.24%),22%,8,-39.78%,$9.33k,96.20%,100.00%,(5.99%),(88.56%),(5.44%),18%,11,14.04%,$26.71k,92.18%,99.99%,(7.54%),(87.54%),(4.92%),9%,26,145.78%,$23.64k,89.18%,99.34%,(8.26%),(79.99%),(10.81%),7%,40,596.88%,$17.57k,80.54%,98.29%,(8.98%),(76.8%),(13.4%)
Vacuum Flasks,L3,6%,3,0.00%,$1.40k,100.00%,100.00%,(9.54%),(88.68%),(1.79%),14%,3,-89.28%,$41.81k,100.00%,100.00%,(3.98%),(95.69%),(0.33%),8%,3,100.28%,$95.18k,100.00%,100.00%,(5.72%),(93.56%),(0.46%),9%,3,-21.45%,$371.08k,100.00%,100.00%,(25.17%),(71.51%),(1.89%),6%,3,2471.90%,$385.50k,100.00%,100.00%,(26.73%),(70.06%),(1.82%)
"Beds, Sofas & Mats",L3,32%,27,0.00%,$238.80,69.04%,88.38%,(1.94%),(87.59%),(10.47%),39%,45,3.53%,$1.24k,72.98%,89.78%,(2.6%),(87.67%),(9.73%),43%,67,-30.75%,$4.18k,69.16%,88.64%,(3.43%),(87.65%),(8.89%),42%,127,32.84%,$6.76k,59.34%,82.38%,(2.07%),(83.52%),(14.08%),42%,228,43.17%,$6.40k,49.85%,73.68%,(1.61%),(73.95%),(24.2%)
Denim,L3,80%,19,0.00%,$349.41,71.93%,95.74%,(5.75%),(53.23%),(41.02%),74%,25,-7.23%,$2.34k,63.12%,92.17%,(18.03%),(49.5%),(32.47%),81%,32,7.56%,$8.69k,60.42%,92.87%,(22.67%),(46.37%),(30.89%),84%,68,-7.23%,$12.79k,56.06%,89.76%,(21.41%),(41.07%),(36.95%),92%,120,-70.88%,$32.13k,52.62%,92.62%,(22.34%),(48.88%),(28.62%)
Dog & Cat Accessories,L2,5%,51,0.00%,$168.99,62.21%,86.04%,(2.47%),(85.01%),(12.52%),4%,78,8.64%,$744.18,61.32%,80.58%,(5.67%),(77.73%),(16.6%),4%,107,-31.76%,$2.60k,50.11%,76.24%,(8.81%),(70.36%),(20.81%),5%,201,-16.37%,$4.57k,42.93%,70.28%,(8.05%),(60.62%),(30.44%),6%,396,-27.13%,$5.51k,49.03%,68.88%,(6.83%),(59.51%),(33.05%)
Mirrorless Cameras,L3,0%,2,0.00%,$24.73,100.00%,100.00%,(0%),(0%),(100%),0%,3,-24.74%,$67.69,100.00%,100.00%,(0%),(32.99%),(67.01%),7%,4,-73.80%,$69.28k,99.91%,100.00%,(0%),(99.62%),(0.32%),9%,6,-30.86%,$247.85k,99.94%,100.00%,(0%),(93.11%),(6.09%),4%,10,3978.66%,$152.36k,99.29%,100.00%,(0%),(92.03%),(7.19%)
Hair Care,L3,29%,37,0.00%,$185.99,45.87%,75.94%,(16.83%),(61.8%),(21.37%),30%,51,-15.69%,$1.18k,44.84%,78.05%,(12.85%),(69.25%),(17.9%),29%,69,1.03%,$3.99k,36.99%,73.40%,(13.48%),(58.6%),(27.64%),33%,116,-12.22%,$8.00k,34.91%,70.52%,(15.71%),(46.96%),(36.64%),43%,N/A,N/A,N/A,N/A,N/A,(15.71%),(46.96%),(36.64%)
Lighting Accessories,L3,43%,1,0.00%,$2.81k,100.00%,100.00%,(0%),(100%),(0%),44%,1,9.70%,$22.51k,100.00%,100.00%,(0%),(100%),(0%),60%,1,-66.03%,$275.10k,100.00%,100.00%,(0%),(100%),(0%),60%,1,-44.85%,$1.25m,100.00%,100.00%,(0%),(99.24%),(0.76%),59%,1,1537.98%,$1.32m,100.00%,100.00%,(0%),(99.28%),(0.72%)
Fizzy Drinks,L3,4%,17,0.00%,$341.61,70.92%,98.02%,(6.16%),(88.43%),(5.41%),4%,26,3.31%,$1.58k,67.24%,97.40%,(8.92%),(85.13%),(5.95%),7%,50,-41.67%,$5.49k,74.63%,96.33%,(6.4%),(87.51%),(5.86%),14%,93,-70.51%,$21.84k,89.53%,97.84%,(1.83%),(85.16%),(12.57%),19%,157,-23.29%,$29.80k,80.94%,95.83%,(3.07%),(85.1%),(11.52%)
Maternity Pillows,L3,28%,2,0.00%,$2.80k,100.00%,100.00%,(2.77%),(96.52%),(0.71%),35%,4,-29.71%,$15.17k,99.93%,100.00%,(1.43%),(95.58%),(2.99%),37%,8,-34.24%,$34.26k,99.60%,100.00%,(1.2%),(94.53%),(4.27%),35%,16,-25.50%,$56.03k,99.43%,99.97%,(0.65%),(90.43%),(8.48%),33%,29,62.01%,$50.00k,97.09%,99.77%,(0.4%),(87.51%),(11.82%)
Food Flavouring & Extracts,L3,57%,5,0.00%,$810.32,96.66%,100.00%,(12.58%),(85.91%),(1.5%),69%,13,-13.44%,$4.42k,93.06%,99.82%,(16.77%),(60.28%),(22.95%),71%,16,-4.16%,$17.11k,90.03%,99.42%,(9.31%),(70.45%),(19.98%),60%,24,337.46%,$18.21k,84.75%,98.92%,(15.31%),(66.3%),(18.23%),43%,34,411.42%,$15.36k,80.11%,97.44%,(20.73%),(60.37%),(18.76%)
Seeds,L3,7%,9,0.00%,$1.26k,97.55%,100.00%,(25.7%),(71.14%),(3.16%),5%,16,119.76%,$3.64k,94.56%,99.39%,(16.18%),(78.38%),(5.45%),5%,22,3.82%,$12.30k,91.65%,98.80%,(9.96%),(85.27%),(4.58%),8%,40,-44.19%,$32.26k,92.07%,98.49%,(18.41%),(69.91%),(10.57%),8%,72,-14.17%,$38.80k,91.99%,98.29%,(19.51%),(68.91%),(10.93%)
Speakers,L3,6%,36,0.00%,$182.90,39.71%,76.24%,(1.57%),(72.37%),(26.06%),6%,52,-24.75%,$1.11k,39.64%,74.24%,(0.81%),(72.9%),(26.29%),4%,81,-29.33%,$3.34k,32.52%,67.34%,(1.39%),(68.41%),(29.99%),5%,144,-28.54%,$7.83k,34.84%,66.85%,(1.32%),(64.34%),(33.55%),5%,253,-0.47%,$8.94k,36.96%,68.99%,(1.53%),(66.82%),(31.19%)
Electronic Accessories,L3,27%,12,0.00%,$951.13,75.80%,99.75%,(7.39%),(74.59%),(18.02%),31%,21,-23.65%,$4.10k,77.35%,97.78%,(3%),(85.61%),(11.38%),19%,33,77.83%,$8.11k,70.10%,94.08%,(1.89%),(84.84%),(13.27%),10%,59,-15.49%,$13.61k,63.11%,88.03%,(3.05%),(67.24%),(26.76%),20%,90,-63.40%,$33.30k,78.74%,92.43%,(1.08%),(75.72%),(22.34%)
Festive & Party Supplies,L2,1%,109,0.00%,$62.63,30.80%,57.39%,(31.6%),(39.56%),(28.84%),1%,172,-21.74%,$299.69,25.46%,53.51%,(27.22%),(38.66%),(34.12%),1%,266,-16.69%,$996.45,26.57%,54.02%,(27.39%),(36.87%),(35.74%),2%,N/A,N/A,N/A,N/A,58.61%,(17.44%),(44.5%),(37.88%),3%,1053,-29.54%,$2.52k,21.22%,50.73%,(15.99%),(45.45%),(38.46%)
Baby Carriers,L3,91%,5,0.00%,$1.76k,92.16%,100.00%,(25.54%),(72.83%),(1.63%),86%,5,-23.96%,$12.85k,90.54%,100.00%,(16.11%),(76.39%),(7.5%),82%,5,-6.38%,$52.50k,88.49%,100.00%,(17.33%),(78.12%),(4.48%),79%,11,25.37%,$66.35k,90.71%,100.00%,(28.06%),(61.9%),(9.68%),80%,15,-50.33%,$146.61k,94.25%,99.98%,(35.93%),(55.96%),(7.95%)
Dog & Cat Food,L2,3%,13,0.00%,$352.87,64.66%,98.96%,(10.7%),(69.75%),(19.55%),3%,17,-36.98%,$2.67k,76.18%,98.66%,(17.84%),(69.53%),(12.62%),4%,24,-36.69%,$10.67k,78.14%,98.85%,(12.61%),(75.38%),(11.96%),3%,46,46.30%,$15.10k,75.44%,97.98%,(7.24%),(64.05%),(27.06%),6%,91,-42.39%,$20.88k,86.87%,98.22%,(3.35%),(33.38%),(62.67%)
Slip-Ons & Flat Shoes,L3,15%,19,0.00%,$404.18,79.74%,97.65%,(28.75%),(65.82%),(5.43%),14%,28,27.59%,$2.20k,75.10%,96.21%,(12.64%),(81.33%),(6.03%),11%,38,11.90%,$6.72k,66.82%,94.35%,(18.96%),(73.26%),(7.78%),9%,55,57.14%,$11.66k,59.45%,92.90%,(8.7%),(73.41%),(17.7%),7%,81,341.84%,$9.71k,51.99%,87.90%,(7.2%),(66.88%),(25.76%)
Screwdrivers,L3,20%,0,0.00%,N/A,,,(NaN%),(NaN%),(NaN%),28%,2,0.00%,$22.19,100.00%,100.00%,(0%),(0%),(100%),32%,5,-49.97%,$215.49,97.63%,100.00%,(0%),(10.3%),(89.7%),48%,10,-68.01%,$691.39,95.42%,100.00%,(0%),(11.9%),(83.99%),61%,12,-4.60%,$1.18k,93.16%,99.87%,(0%),(26.84%),(71.15%)
First Aid Supplies,L3,37%,21,0.00%,$341.15,50.33%,90.70%,(32.96%),(55.67%),(11.37%),26%,24,-29.14%,$2.43k,41.87%,92.36%,(23.66%),(63.98%),(12.36%),21%,30,-25.76%,$8.42k,47.51%,90.79%,(20.23%),(60.56%),(18.91%),20%,56,-28.03%,$15.72k,50.86%,86.03%,(10.73%),(67.4%),(20.95%),27%,106,-11.12%,$17.65k,45.16%,81.80%,(9.52%),(63%),(26.85%)
Baseballs,L3,10%,7,0.00%,$780.29,95.29%,100.00%,(99.35%),(0.29%),(0.37%),10%,10,609.62%,$2.65k,87.89%,100.00%,(57.07%),(11.04%),(31.89%),13%,39,-42.00%,$6.44k,72.04%,90.72%,(46.67%),(14.73%),(38.6%),7%,N/A,N/A,N/A,53.15%,75.33%,(48.24%),(22.22%),(29.47%),6%,109,338.51%,$4.79k,49.62%,69.50%,(49.4%),(20.1%),(30.44%)
Jackets & Coats,L3,3%,23,0.00%,$271.52,43.13%,87.86%,(15.51%),(58.6%),(25.9%),4%,28,-16.59%,$2.39k,64.71%,88.39%,(9.49%),(79.07%),(11.44%),3%,37,-20.58%,$6.78k,56.48%,87.40%,(8.11%),(44.4%),(47.49%),2%,54,209.97%,$10.29k,61.83%,87.94%,(14.54%),(33.34%),(51.98%),2%,N/A,N/A,N/A,N/A,N/A,(11.43%),(38.93%),(49.51%)
Clothes & Shoe Dryers,L3,2%,19,0.00%,$344.79,54.95%,95.20%,(4.08%),(74.53%),(21.4%),2%,23,28.54%,$2.60k,51.91%,94.36%,(6.06%),(63.34%),(30.6%),2%,29,-13.82%,$8.57k,50.77%,93.83%,(4.6%),(69.41%),(25.91%),1%,46,106.26%,$11.20k,52.14%,88.76%,(3.06%),(58.57%),(35.39%),1%,80,84.77%,$9.93k,47.72%,84.98%,(2.77%),(54.91%),(40.36%)
Photo Frames,L3,15%,56,0.00%,$172.66,70.33%,83.36%,(0.05%),(80.8%),(19.15%),10%,85,3.51%,$760.44,54.93%,75.13%,(0.36%),(76.26%),(23.38%),10%,124,-2.06%,$1.99k,45.81%,67.09%,(3.6%),(68.12%),(27.81%),9%,193,10.86%,$3.69k,30.92%,58.23%,(4%),(59.39%),(35.3%),11%,489,-31.58%,$3.59k,31.96%,56.55%,(10.41%),(52.66%),(36.22%)
Makeup Remover,L3,1%,30,0.00%,$152.15,47.14%,83.56%,(6.17%),(82.56%),(11.27%),0%,46,14.04%,$713.15,50.99%,78.93%,(7.97%),(81.47%),(10.56%),1%,59,-36.56%,$4.18k,53.32%,82.19%,(5.91%),(50.94%),(43.14%),1%,96,-5.80%,$7.36k,37.09%,74.59%,(8.03%),(57.44%),(33.24%),1%,186,-9.67%,$8.01k,36.70%,70.00%,(11.17%),(56.38%),(31.83%)
Eyebrow Pencils/Powder/Paste,L3,1%,35,0.00%,$160.46,70.99%,85.61%,(0.8%),(88.83%),(10.37%),1%,47,-44.51%,$1.26k,75.38%,88.37%,(1.92%),(87.97%),(10.11%),1%,63,49.91%,$3.88k,57.89%,81.93%,(2.13%),(83.56%),(14.27%),1%,114,-4.75%,$5.99k,55.56%,76.30%,(3.92%),(75.03%),(20.91%),1%,217,46.20%,$5.30k,41.11%,70.39%,(4.13%),(69.23%),(26.45%)
Video Camcorders,L3,7%,16,0.00%,$506.73,79.48%,97.34%,(18.08%),(66.75%),(15.17%),5%,21,8.15%,$2.32k,71.22%,96.62%,(15.5%),(69.42%),(15.09%),6%,26,-20.14%,$9.28k,74.49%,96.88%,(6.78%),(82.55%),(10.67%),8%,44,-27.22%,$29.22k,84.33%,96.72%,(1.93%),(84.57%),(12.77%),13%,61,-63.42%,$78.69k,76.52%,97.35%,(0.55%),(90.72%),(8.43%)
Travel Organizers,L3,19%,56,0.00%,$82.98,40.23%,67.52%,(11.4%),(52.14%),(36.46%),19%,74,29.54%,$567.59,45.90%,71.15%,(7.16%),(44.46%),(48.38%),18%,95,-24.30%,$2.52k,43.66%,68.40%,(7.71%),(55.15%),(36.68%),19%,163,-6.78%,$5.42k,35.97%,60.54%,(4.54%),(55.59%),(39.29%),31%,343,-54.19%,$8.20k,29.42%,65.58%,(2.44%),(69.21%),(28.12%)
Dog Treats,L3,85%,11,0.00%,$355.49,72.98%,99.75%,(12.55%),(81.83%),(5.63%),90%,13,-41.53%,$3.16k,84.30%,99.58%,(19.66%),(75.69%),(4.65%),93%,19,-38.56%,$12.53k,84.00%,99.39%,(13.48%),(80.21%),(6.25%),95%,31,42.22%,$21.25k,79.56%,98.90%,(7.54%),(66.19%),(24.53%),98%,59,-45.07%,$31.49k,88.86%,98.88%,(3.39%),(33.6%),(62.4%)
Washing Machines & Dryers,L3,51%,10,0.00%,$775.61,75.87%,100.00%,(30.46%),(48.62%),(20.92%),55%,16,19.69%,$3.40k,57.78%,97.84%,(16.58%),(62.95%),(20.48%),49%,21,-12.10%,$11.29k,63.39%,94.99%,(8.84%),(67.02%),(23.65%),41%,30,-32.18%,$27.11k,64.07%,92.50%,(3.69%),(51.08%),(43.74%),45%,55,-32.15%,$36.58k,75.92%,93.33%,(1.94%),(64.08%),(32.99%)
Key Chains,L3,4%,78,0.00%,$70.63,31.49%,59.86%,(43.88%),(31.45%),(24.67%),4%,110,-14.05%,$395.99,28.01%,55.08%,(44.41%),(26.71%),(28.88%),5%,146,-26.95%,$1.61k,30.87%,55.53%,(40.94%),(29.3%),(29.76%),5%,254,16.25%,$2.66k,28.68%,53.41%,(32.55%),(30.74%),(36.58%),6%,636,0.97%,$2.11k,23.02%,46.86%,(28.29%),(32.54%),(38.83%)
Bins,L3,2%,12,0.00%,$385.34,82.22%,99.66%,(0%),(93.07%),(6.93%),3%,19,6.15%,$2.59k,87.40%,98.69%,(0.45%),(93.21%),(6.33%),3%,39,-34.61%,$6.02k,84.70%,96.89%,(0.5%),(92.01%),(7.49%),3%,82,-7.52%,$8.17k,79.46%,94.55%,(0.76%),(84.47%),(14.61%),3%,201,43.83%,$5.65k,74.58%,90.65%,(2.52%),(80.91%),(16.4%)
Custard Puddings & Jelly,L3,6%,24,0.00%,$416.66,89.18%,96.85%,(7.34%),(75.63%),(17.03%),6%,32,-27.42%,$2.03k,82.93%,95.15%,(10.19%),(78.37%),(11.44%),5%,41,59.89%,$5.72k,77.67%,92.15%,(10.39%),(74.01%),(15.59%),3%,84,110.69%,$5.86k,54.38%,83.47%,(9.37%),(61.8%),(28.28%),4%,172,-48.47%,$8.41k,55.47%,81.92%,(9.95%),(68.94%),(20.92%)
Radio & Cassette Players,L3,2%,13,0.00%,$182.92,68.54%,97.80%,(3.53%),(48.11%),(48.36%),3%,18,-37.86%,$1.84k,64.52%,96.60%,(1.48%),(50.05%),(48.47%),3%,24,-50.27%,$9.64k,51.45%,93.39%,(6.79%),(57.49%),(35.71%),4%,39,-11.65%,$23.84k,61.45%,93.33%,(5.54%),(63.84%),(29.5%),5%,57,-42.15%,$44.50k,76.57%,95.34%,(2.68%),(75.13%),(21.35%)
Laundry Tools & Accessories,L2,1%,4,0.00%,$1.40k,99.62%,100.00%,(49.9%),(47.36%),(2.74%),1%,5,-21.16%,$8.29k,99.53%,100.00%,(30.89%),(67.86%),(1.25%),1%,5,-1.69%,$45.93k,99.83%,100.00%,(24.17%),(74.85%),(0.98%),1%,7,4176.91%,$48.79k,99.66%,100.00%,(22.6%),(75.2%),(2.18%),0%,26,2424.30%,$13.66k,98.85%,99.82%,(21.74%),(73.18%),(5.06%)
Sports & Outdoor Hats,L3,42%,51,0.00%,$84.37,50.24%,76.94%,(14.26%),(33.72%),(52.02%),54%,85,-24.08%,$417.23,39.70%,65.25%,(19.98%),(34.61%),(45.41%),54%,129,-39.47%,$1.75k,37.34%,68.43%,(12.61%),(53.62%),(33.72%),60%,253,7.67%,$3.28k,28.17%,56.02%,(13.6%),(42.43%),(43.87%),63%,349,31.01%,$4.19k,36.90%,60.33%,(8.99%),(54.57%),(36.31%)
Network Components,L2,4%,12,0.00%,$883.24,93.66%,99.81%,(0%),(94.81%),(5.19%),4%,18,-1.50%,$4.13k,94.60%,99.52%,(0.55%),(93.88%),(5.57%),2%,33,106.50%,$6.69k,89.75%,97.33%,(1.98%),(86.14%),(11.65%),2%,62,108.14%,$6.45k,75.04%,94.96%,(6.53%),(69.5%),(23.57%),2%,95,24.95%,$7.58k,65.50%,93.22%,(8.29%),(67.62%),(23.86%)
Chairs,L3,1%,2,0.00%,$1.16k,100.00%,100.00%,(10.35%),(89.65%),(0%),2%,2,-49.88%,$17.60k,100.00%,100.00%,(7.32%),(90.95%),(1.74%),3%,2,-32.35%,$110.26k,100.00%,100.00%,(7%),(91.85%),(1.11%),2%,2,0.51%,$294.89k,100.00%,100.00%,(3.26%),(91.63%),(1.72%),1%,2,563.59%,$339.32k,100.00%,100.00%,(3.08%),(90.75%),(3.06%)
Countertop Ovens,L3,10%,1,0.00%,$8.04k,100.00%,100.00%,(0%),(100%),(0%),11%,2,7.13%,$56.96k,100.00%,100.00%,(0%),(100%),(0%),6%,4,306.54%,$40.01k,100.00%,100.00%,(0.6%),(99.33%),(0.07%),6%,10,-33.61%,$54.81k,99.44%,100.00%,(6.91%),(88.95%),(3.03%),7%,14,545.15%,$45.22k,99.27%,99.95%,(7.88%),(87.94%),(3.13%)
